group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
GE MEDICAL SYSTEMS,186,0.866043136897129,0.7724519593907109,3.1391791600025836,2.128208088621174,0.7139918381872908,0.8559690252299889,0.883258996195757,0.8870967741935484,21,0,0,21,1
Philips Medical Systems,279,0.8833394984675518,0.8027203329610911,3.1130023199894037,2.1326285478162514,0.6825715857355189,0.8831374650098157,0.8902415758059201,0.8458781362007168,43,0,1,42,2
SIEMENS,764,0.8417042233149586,0.7482528602102901,3.460188410763567,2.339385345237308,0.8271579392128418,0.8400137509885183,0.8560836273043403,0.8612565445026178,106,0,0,106,5
