group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
ARR,120,0.8793554490661525,0.794250305434755,3.0645668527654433,2.054710572319337,0.6984133680585128,0.8905004587444724,0.8754258366890632,0.875,15,0,0,15,0
CIA,113,0.8641263214071385,0.7686641383524961,2.6704671409936815,1.802650738783457,0.6774701355556213,0.8438201121129965,0.8947071238251273,0.9646017699115044,4,0,0,4,0
FALL,115,0.8599535589504534,0.774275971943027,2.917327654284242,2.000781345437387,0.7076889671552667,0.8556009478985054,0.8742802605769574,0.8608695652173913,16,0,0,16,0
HCM,200,0.8757326263181819,0.7942326075264209,3.4266298162013675,2.455800325937781,0.8517278295112608,0.8939400798361707,0.8696741427409233,0.825,35,0,0,35,1
LV,234,0.8353836952234706,0.7449804535415437,4.133496964760686,2.6986322441010575,0.8805792956004608,0.823684138674976,0.8606347344776841,0.8290598290598291,40,0,0,40,4
NOR,244,0.8551720742811972,0.7635940012632689,2.9718204546094453,1.9851664651044234,0.6468111777563951,0.8493349796885611,0.8699609074397378,0.8237704918032787,43,0,1,42,2
RV,111,0.8414504750565287,0.7350942008978688,3.597544359647519,2.3843807135023187,0.8444145882855569,0.8447144390168744,0.8502158228949063,0.9099099099099099,10,0,0,10,0
TRI,92,0.8244009115204238,0.7283158830665328,3.4128212990674927,2.4575970566085332,0.9292129503149716,0.8069469376875059,0.8483527681403061,0.9239130434782609,7,0,0,7,1
