group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
GE MEDICAL SYSTEMS,186,0.8661866458566401,0.7726337625782653,3.137384264650851,2.1238395024504237,0.7124683762480157,0.856900621323574,0.8825658121071501,0.8870967741935484,21,0,0,21,1
Philips Medical Systems,279,0.8830775074031231,0.80235823956363,3.1130023199894037,2.131262349836694,0.6826425522964837,0.8837814184874012,0.8891022314891582,0.8458781362007168,43,0,1,42,2
SIEMENS,764,0.8415574888602289,0.7480384688015346,3.461032008680722,2.3369956976426094,0.8269215194936862,0.8405959653712258,0.8551802109210452,0.8612565445026178,106,0,0,106,5
