group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
ARR,120,0.8826628806988782,0.8031439378690474,3.0769271908368476,2.019707866484464,0.6660045968452674,0.9016684065127976,0.8699306312484888,0.875,15,0,0,15,2
CIA,113,0.8616996974312021,0.7664217653933852,2.719703203512094,1.785037040210081,0.6572660111746003,0.8593492863205825,0.8724117713370835,0.9646017699115044,4,0,0,4,0
FALL,115,0.8592162009414838,0.7782817329621443,4.101122905383496,2.9714623329291054,1.0121262054166544,0.8691709839463049,0.8612105497217147,0.8608695652173913,16,0,0,16,2
HCM,200,0.8855650150514347,0.8105532852497217,3.362910695701505,2.376048509077183,0.7727750693272015,0.9081894461823397,0.8746079350100078,0.825,35,0,0,35,2
LV,234,0.8399827968927582,0.7501435388193088,3.9674721585312844,2.569917168812304,0.8277501843936841,0.8549111859315663,0.8406857075196572,0.8290598290598291,40,0,0,40,5
NOR,244,0.8591810495757543,0.7700908708770392,2.8585721036978122,1.9682725910459928,0.6279156567775362,0.8758371682125524,0.850147244978286,0.8237704918032787,43,0,1,42,1
RV,111,0.825401521551105,0.7122032299971311,4.152438487171739,2.760837457978141,0.8970514522204198,0.8519284003916128,0.8096867219075548,0.9099099099099099,10,0,0,10,0
TRI,92,0.8358942271582669,0.7354441528997645,2.9814947194094175,1.9627851885936787,0.7187175251828343,0.8461666987225196,0.8339916341672869,0.9347826086956522,6,0,0,6,0
