group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
GE MEDICAL SYSTEMS,186,0.8832244430369868,0.7983849697869395,2.9080623808623804,1.9710418159763612,0.6365803383552572,0.8839804036627489,0.8860313059319412,0.8870967741935484,21,0,0,21,2
Philips Medical Systems,279,0.882040860084384,0.8028235901500393,3.2602650582163673,2.2066850201195964,0.6850391168420882,0.8974272324982419,0.8726097660264955,0.8458781362007168,43,0,1,42,3
SIEMENS,764,0.8423603659736241,0.749031130256902,3.5750702993903642,2.418025426888326,0.8222656659091955,0.861598891172204,0.8369553642874411,0.862565445026178,105,0,0,105,7
