group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
GE MEDICAL SYSTEMS,186,0.8832431458053958,0.7984244047372268,2.904912991412773,1.9693028549032312,0.6355424092821558,0.884588720492093,0.8854422504636392,0.8817204301075269,22,0,0,22,2
Philips Medical Systems,279,0.8815989544684923,0.8022367427104021,3.2617260236192,2.2078560673710395,0.6859498802286939,0.8977812049683416,0.8714341254989703,0.8387096774193549,45,0,1,44,3
SIEMENS,764,0.8419705118743207,0.7484930874213931,3.5798792908517867,2.4175818147372694,0.8234829127620485,0.8619557829667865,0.8359619990158527,0.856020942408377,110,0,0,110,7
