group,sample_count,mean_dice,mean_iou,mean_hd,mean_hd95,mean_assd,mean_precision,mean_recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
ARR,120,0.8826060689252447,0.8030853463426411,3.072045637189957,2.0188180507071865,0.6650492198467113,0.9021911494261967,0.8693811659908615,0.875,15,0,0,15,2
CIA,113,0.8612755413806613,0.7658052256327189,2.719703203512094,1.787126137356097,0.6590237540471053,0.8597218177936006,0.8713182232188353,0.9203539823008849,9,0,0,9,0
FALL,115,0.8589366390490607,0.7778961247869038,4.122373116080833,2.9835195654844626,1.0226826450154143,0.8696290352945115,0.8601509510391776,0.8521739130434782,17,0,0,17,2
HCM,200,0.8851209478511001,0.8098946567162816,3.362910695701505,2.3753229960594497,0.7738851422026,0.9085704333148883,0.8734580739691004,0.82,36,0,0,36,2
LV,234,0.8400422807558202,0.7500578020649972,3.9702264696795995,2.56531514271822,0.8256721661129931,0.8555106648376885,0.8403840096728661,0.8290598290598291,40,0,0,40,5
NOR,244,0.8587951057809121,0.769620676783506,2.858548897675322,1.9626742236497359,0.6281668439163494,0.8762328773972157,0.8489931906189219,0.8237704918032787,43,0,1,42,1
RV,111,0.8249598624205905,0.7115731487287682,4.161439010185295,2.7679106844992107,0.897994826657087,0.8522191548573631,0.808603763052821,0.9099099099099099,10,0,0,10,0
TRI,92,0.8346694863532373,0.7342489261807412,2.9814947194094175,1.9622562116639006,0.7164489598837464,0.8459685160276912,0.8320049898834023,0.9239130434782609,7,0,0,7,0
