case,checkpoint,threshold,postprocess,sample_count,dice,iou,hd,hd95,assd,precision,recall,topology_success_rate,topology_failure_count,extra_components_count,missing_holes_count,extra_holes_count,remote_false_positive_count
baseline_no_post,checkpoints\mnms2\mnms2-original-teds-stratified-preprocess-v2-s42-20260615-e20-warm\best_teds_net.pth,0.58,none,1229,0.8547105469357372,0.7640921227357059,3.333042778791028,2.25803177873,0.7768465671001026,0.8528672488753345,0.8670255856640225,0.8616761594792515,170,0,1,169,8
baseline_post,checkpoints\mnms2\mnms2-original-teds-stratified-preprocess-v2-s42-20260615-e20-warm\best_teds_net.pth,0.58,closing_r1_lcc_fill_extra_holes_preserve_largest_hole,1229,0.8548395200552819,0.764280083436516,3.3327900055824977,2.260488586725448,0.777207990139672,0.8522181425433235,0.867950743859055,0.8616761594792515,170,0,1,169,8
r2net_no_post,checkpoints\mnms2\mnms2-r2net-stratified-preprocess-v2-s42-20260615-e20-warm\best_teds_net.pth,0.78,none,1229,0.8572130223665534,0.7682503737081129,3.4055029741279874,2.302127485978678,0.7638176159971455,0.8735139759026211,0.8515031300639226,0.8559804719283971,177,0,1,176,12
r2net_post,checkpoints\mnms2\mnms2-r2net-stratified-preprocess-v2-s42-20260615-e20-warm\best_teds_net.pth,0.78,closing_r1_lcc_fill_extra_holes_preserve_largest_hole,1229,0.857552860839928,0.7687120989003294,3.4026584725931714,2.302400589526161,0.7630112492169616,0.8731196955279451,0.8524766850613004,0.8624898291293734,169,0,1,168,12
